vendor_id,vendor_name,category,spend_amount,date,department,payment_method,transaction_type,year,month,month_name,quarter,quarter_label,spend_tier
V008,Hexaware Technologies,IT Services,10459.9,22-10-2023,HR,Unknown,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V011,Amazon Web Services,Cloud Infrastructure,33309.16,17-09-2023,Marketing,RTGS,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V002,Infosys Ltd,Legal & Compliance,79846.74,16-02-2023,IT,RTGS,Invoice,2023,2,February,1,Q1,Strategic (₹50K–2L)
V007,Mphasis,Logistics,27262.36,01-01-2023,Operations,Bank Transfer,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V008,Hexaware Technologies,Legal & Compliance,26936.65,20-11-2023,R&D,Cheque,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V006,L&T Infotech,Marketing,44606.82,03-03-2023,Procurement,UPI,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V019,DHL India,Telecom,6570.22,30-09-2023,Operations,Unknown,Invoice,2023,9,September,3,Q3,Tail (<₹10K)
V016,Reliance Jio,Unknown,117084.85,06-06-2023,Legal,Unknown,Invoice,2023,6,June,2,Q2,Strategic (₹50K–2L)
V003,Wipro Technologies,IT Services,24308.92,29-08-2023,Procurement,Bank Transfer,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V011,Amazon Web Services,Marketing,8222.43,13-09-2023,IT,UPI,Invoice,2023,9,September,3,Q3,Tail (<₹10K)
V002,Infosys Ltd,IT Services,71178.17,15-04-2023,Finance,RTGS,Invoice,2023,4,April,2,Q2,Strategic (₹50K–2L)
V020,BLUE DART EXPRESS,HR & Payroll,10485.09,07-01-2023,Operations,Credit Card,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V016,RELIANCE JIO,Legal & Compliance,21417.14,10-10-2023,Administration,NEFT,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V015,IBM India,Legal & Compliance,21921.55,11-09-2023,Finance,Unknown,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V001,Tata Consultancy Services,Facilities,57663.57,14-03-2023,Operations,Credit Card,Invoice,2023,3,March,1,Q1,Strategic (₹50K–2L)
V012,Microsoft India,HR & Payroll,447246.3,20-03-2023,Administration,Cheque,Invoice,2023,3,March,1,Q1,Critical (>₹2L)
V014,SAP India,Marketing,6388.78,15-04-2023,Marketing,RTGS,Invoice,2023,4,April,2,Q2,Tail (<₹10K)
V012,Microsoft India,IT Services,49675.46,08-09-2023,Procurement,Bank Transfer,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V005,Tech Mahindra,Facilities,19692.25,24-01-2023,Administration,Bank Transfer,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V006,L&T Infotech,Logistics,129126.35,01-12-2023,R&D,UPI,Invoice,2023,12,December,4,Q4,Strategic (₹50K–2L)
V013,Oracle India,HR & Payroll,3655.78,13-03-2023,Marketing,NEFT,Invoice,2023,3,March,1,Q1,Tail (<₹10K)
V016,Reliance Jio,Telecom,30268.35,02-10-2023,Marketing,Bank Transfer,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V017,Airtel Business,Telecom,29973.64,15-04-2023,Legal,RTGS,Invoice,2023,4,April,2,Q2,Mid (₹10K–50K)
V003,Wipro Technologies,Cloud Infrastructure,11236.62,01-11-2023,Legal,UPI,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V001,Tata Consultancy Services,Marketing,184360.22,11-07-2023,Administration,Cheque,Invoice,2023,7,July,3,Q3,Strategic (₹50K–2L)
V010,Capgemini India,Marketing,93829.85,17-11-2023,Marketing,UPI,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V020,BLUE DART EXPRESS,Legal & Compliance,11537.43,16-02-2023,IT,Credit Card,Invoice,2023,2,February,1,Q1,Mid (₹10K–50K)
V017,Airtel Business,HR & Payroll,57111.49,09-09-2023,Operations,RTGS,Invoice,2023,9,September,3,Q3,Strategic (₹50K–2L)
V002,Infosys Ltd,Facilities,275011.99,16-01-2023,Administration,Cheque,Invoice,2023,1,January,1,Q1,Critical (>₹2L)
V013,Oracle India,HR & Payroll,16113.39,02-03-2023,Legal,NEFT,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
