vendor_id,vendor_name,category,spend_amount,date,department,payment_method
V008,Hexaware Technologies,it services,10459.9,2023-10-22,HR,
V015,IBM India,,44778.95,11/06/2023,HR,Bank Transfer
V011,Amazon Web Services,CLOUD,33309.16,2023-09-17,Marketing,RTGS
V002,Infosys Ltd,legal compliance,79846.74,2023-02-16,IT,RTGS
V007,,Logistics,27262.36,2023-01-01,Operations,Bank Transfer
V008,Hexaware Technologies,LEGAL,26936.65,2023-11-20,R&D,Cheque
V006,L&T Infotech,MARKETING,44606.82,2023-03-03,Procurement,UPI
V019,DHL India,TELECOM,6570.22,2023-09-30,Operations,
V016,Reliance Jio,,117084.85,2023-06-06,Legal,
V003,Wipro Technologies,IT services,24308.92,2023-08-29,Procurement,Bank Transfer
V011,Amazon Web Services,Marketing,8222.43,2023-09-13,IT,UPI
V002,Infosys Ltd,it services,71178.17,2023-04-15,Finance,RTGS
V020,,Human Resources,10485.09,2023-01-07,Operations,Credit Card
V016,RELIANCE JIO,legal compliance,21417.14,2023-10-10,Administration,NEFT
V015,IBM India,Legal,21921.55,2023-09-11,Finance,
V001,Tata Consultancy Services,facilities,57663.57,2023-03-14,Operations,Credit Card
V012,Microsoft India,HR & Payroll,447246.3,2023-03-20,Administration,Cheque
V014,SAP India,MARKETING,6388.78,2023-04-15,Marketing,RTGS
V012,Microsoft India,IT Services,49675.46,2023-09-08,Procurement,Bank Transfer
V005,Tech Mahindra,Facility Management,19692.25,2023-01-24,Administration,Bank Transfer
V006,L&T Infotech,Supply Chain,129126.35,2023-12-01,R&D,UPI
V013,Oracle India,HR Payroll,3655.78,2023-03-13,Marketing,NEFT
V016,Reliance Jio,Telecommunication,30268.35,2023-10-02,Marketing,Bank Transfer
V017,Airtel Business,Telecommunication,29973.64,2023-04-15,Legal,RTGS
V003,Wipro Technologies,Cloud Infra,11236.62,2023-11-01,Legal,UPI
V001,Tata Consultancy Services,Mktg,184360.22,2023-07-11,Administration,Cheque
V010,Capgemini India,Mktg,93829.85,2023-11-17,Marketing,UPI
V020,BLUE DART EXPRESS,Legal & Compliance,11537.43,2023-02-16,IT,Credit Card
V017,Airtel Business,HR/Payroll,57111.49,2023-09-09,Operations,RTGS
V002,,facilities,275011.99,2023-01-16,Administration,Cheque
V013,Oracle India,HR & Payroll,16113.39,2023-03-02,Legal,NEFT
V003,Wipro Technologies,Logistic,56382.71,2023-12-04,Finance,RTGS
V009,Cognizant India,Telecom,10150.07,2023-03-04,Administration,Bank Transfer
V015,IBM India,Facility Management,,2023-07-22,Finance,UPI
V011,,HR & Payroll,11275.44,2023-07-07,Sales,UPI
V015,IBM India,Facilities,19231.17,2023-08-04,Marketing,RTGS
V010,Capgemini India,Telecom,54110.14,2023-01-28,R&D,
V005,Tech Mahindra,logistics,742.84,2023-02-28,HR,Bank Transfer
V013,ORACLE INDIA,marketing,10085.51,2023-05-23,HR,
V013,Oracle India,Cloud Infra,,2023-12-09,Procurement,Bank Transfer
V015,IBM India,IT SERVICES,89529.16,2023-05-28,HR,Credit Card
V011,amazon web services,Cloud Infra,48916.24,2023-10-21,Operations,Credit Card
V018,BSNL,TELECOM,35178.25,2023-01-07,Operations,UPI
V013,ORACLE INDIA,marketing,17592.32,28/11/2023,HR,NEFT
V015,IBM India,TELECOM,41955.08,2023-11-24,Sales,RTGS
V018,BSNL,,33106.27,2023-05-22,Procurement,NEFT
V003,Wipro Technologies,logistics,24876.45,2023-01-29,R&D,RTGS
V004,HCL TECHNOLOGIES,logistics,65910.76,2023-04-25,HR,NEFT
V007,Mphasis,IT services,40291.98,2023-08-31,Finance,NEFT
V011,Amazon Web Services,Cloud Infrastructure,145847.19,2023-04-26,IT,
V001,Tata Consultancy Services,Legal & Compliance,16745.02,2023-08-15,Administration,Cheque
V016,Reliance Jio,logistics,35415.97,2023-03-04,Marketing,UPI
V010,CAPGEMINI INDIA,facilities,54726.71,2023-11-14,Legal,Cheque
V020,Blue Dart Express,Logistic,17672.05,2023-09-05,Marketing,NEFT
V007,Mphasis,HR Payroll,20283.51,2023-08-19,Finance,Bank Transfer
V009,Cognizant India,LEGAL,,2023-05-10,Administration,NEFT
V009,Cognizant India,,37399.48,2023-06-11,IT,Bank Transfer
V003,Wipro Technologies,FACILITIES,37127.09,2023-08-08,Procurement,Cheque
V005,Tech Mahindra,LEGAL,18687.7,2023-09-22,Sales,
V002,Infosys Ltd,HR Payroll,78144.19,2023-08-18,Operations,NEFT
V010,Capgemini India,Supply Chain,27919.46,2023-02-03,IT,
V009,Cognizant India,Cloud Infra,256360.17,2023-12-07,Legal,Credit Card
V013,,logistics,19323.82,2023-03-16,Administration,Bank Transfer
V003,Wipro Technologies,cloud infrastructure,97446.02,2023-11-30,Finance,UPI
V008,Hexaware Technologies,Human Resources,28462.58,2023-10-28,Administration,UPI
V004,HCL Technologies,Cloud Infra,54687.06,2023-11-25,HR,Credit Card
V018,BSNL,Marketing,184884.77,2023-08-09,Legal,Bank Transfer
V018,BSNL,it services,20767.08,2023-01-17,HR,
V011,Amazon Web Services,facilities,82723.73,2023-03-14,Administration,UPI
V003,Wipro Technologies,HR Payroll,19219.7,2023-06-17,Sales,Cheque
V002,Infosys Ltd,telecom,66568.36,2023-02-26,Operations,
V009,cognizant india,Mktg,26269.14,2023-09-23,Legal,UPI
V010,Capgemini India,IT services,1870.62,2023-04-09,IT,
V006,L&T Infotech,CLOUD,6527.83,2023-03-13,HR,NEFT
V018,BSNL,MARKETING,4898.64,2023-01-26,Operations,Cheque
V008,Hexaware Technologies,facilities,,2023-12-15,Legal,NEFT
V012,Microsoft India,cloud infrastructure,16634.41,2023-06-04,Legal,RTGS
V004,HCL Technologies,Logistic,4378.02,2023-04-18,R&D,Credit Card
V012,Microsoft India,IT services,59595.61,2023-10-15,R&D,RTGS
V015,IBM India,Legal & Compliance,64079.84,2023-06-10,Procurement,Credit Card
V014,SAP India,Facilities,213944.7,2023-12-23,R&D,Bank Transfer
V015,IBM India,LEGAL,3489.43,2023-01-26,Finance,RTGS
V002,infosys ltd,IT SERVICES,46947.06,2023-07-06,Administration,Cheque
V014,SAP India,facilities,19888.39,2023-08-28,IT,NEFT
V012,Microsoft India,,55789.72,2023-12-08,Sales,RTGS
V001,TATA CONSULTANCY SERVICES,CLOUD,143272.67,2023-08-16,Procurement,Cheque
V004,HCL TECHNOLOGIES,Legal,36544.74,2023-12-13,Operations,
V002,Infosys Ltd,Legal,98251.59,2023-12-18,Procurement,NEFT
V005,Tech Mahindra,logistics,233262.87,2023-09-05,Procurement,Cheque
V009,Cognizant India,Cloud Infrastructure,129328.3,2023-07-26,Operations,UPI
V004,HCL Technologies,Logistics,9627.68,2023-02-25,Finance,UPI
V014,SAP India,Telecommunication,949986.45,2023-07-05,Administration,UPI
V011,Amazon Web Services,IT services,12698.74,2023-10-18,Legal,UPI
V005,Tech Mahindra,HR Payroll,67725.35,2023-04-22,Finance,UPI
V005,Tech Mahindra,Cloud Infra,,2023-06-27,Sales,Bank Transfer
V018,BSNL,LEGAL,41805.9,2023-05-29,IT,Bank Transfer
V006,L&T Infotech,IT SERVICES,91586.42,2023-11-24,Procurement,RTGS
V008,Hexaware Technologies,Legal,16580.87,2023-01-23,IT,RTGS
V006,L&T Infotech,logistics,39572.1,2023-07-10,Operations,
V013,Oracle India,Logistics,52949.65,2023-01-06,Sales,Credit Card
V001,Tata Consultancy Services,facilities,12983.19,2023-12-18,Procurement,Bank Transfer
V008,Hexaware Technologies,facilities,20434.72,2023-05-23,Legal,
V013,Oracle India,it services,39488.41,2023-08-14,IT,Cheque
V003,Wipro Technologies,IT services,40802.27,2023-04-13,HR,
V011,Amazon Web Services,telecom,67274.94,2023-02-15,Legal,Cheque
V007,Mphasis,facilities,11756.3,2023-11-27,Marketing,Bank Transfer
V006,L&T INFOTECH,facilities,46358.33,2023-10-12,Administration,Credit Card
V014,SAP India,cloud infrastructure,40831.59,22/01/2023,Sales,NEFT
V014,SAP India,Cloud Infrastructure,383720.68,2023-08-22,Administration,UPI
V018,BSNL,Telecom,85545.24,2023-07-31,HR,RTGS
V017,Airtel Business,marketing,25590.27,2023-03-09,Sales,Credit Card
V015,IBM India,facilities,49281.55,2023-02-22,R&D,Bank Transfer
V002,Infosys Ltd,Legal & Compliance,7997.94,2023-09-21,Marketing,Cheque
V006,L&T Infotech,legal compliance,98361.33,2023-08-07,Legal,Credit Card
V006,L&T Infotech,,116527.8,2023-10-19,Finance,RTGS
V017,Airtel Business,legal compliance,39380.35,2023-01-22,Sales,
V012,Microsoft India,Cloud Infra,20681.38,2023-05-08,Operations,Credit Card
V013,Oracle India,it services,21308.22,2023-11-26,Finance,NEFT
V001,Tata Consultancy Services,Telecom,92001.56,2023-03-06,Finance,Bank Transfer
V015,IBM India,HR/Payroll,15639.21,2023-11-07,R&D,Credit Card
V020,Blue Dart Express,MARKETING,,14/06/2023,Sales,
V009,Cognizant India,Marketing,13867.0,2023-05-04,Operations,Credit Card
V013,Oracle India,Cloud Infra,20613.09,2023-10-14,Marketing,Cheque
V008,,Logistic,36764.19,2023-05-09,Operations,NEFT
V020,Blue Dart Express,IT SERVICES,121485.64,2023-06-19,Procurement,Credit Card
V003,Wipro Technologies,Legal,34190.88,2023-01-06,Administration,RTGS
V019,DHL India,Legal,173958.94,2023-08-21,Marketing,Credit Card
V016,RELIANCE JIO,it services,110350.07,2023-11-05,HR,NEFT
V001,Tata Consultancy Services,CLOUD,52737.87,2023-05-05,Administration,Credit Card
V011,,HR Payroll,27900.33,2023-07-16,HR,Credit Card
V020,Blue Dart Express,Logistic,31644.39,2023-06-04,HR,Bank Transfer
V019,DHL India,Telecommunication,28109.52,2023-06-20,HR,RTGS
V018,BSNL,logistics,225852.14,23/03/2023,Finance,Credit Card
V018,BSNL,LEGAL,51417.29,2023-06-03,Sales,
V012,Microsoft India,Cloud Infrastructure,69638.44,2023-11-22,R&D,NEFT
V015,IBM India,Telecommunication,228498.9,2023-01-09,Administration,Bank Transfer
V020,Blue Dart Express,MARKETING,11220.34,2023-06-27,Administration,Credit Card
